ObjectName: GEO_Sat
Mass: 2000.00000000
Path:
149640681190.04974365, 118132998.17904569, 0.00000000
149616256562.64306641, 2692905002.03362226, 0.00000000
149547678083.41299438, 5266997386.95410347, 0.00000000
149434935343.13153076, 7839692584.69039440, 0.00000000
149278019920.50112915, 10410266059.28984070, 0.00000000
149076927324.23721313, 12977984194.16216087, 0.00000000
148831659244.57376099, 15542102761.84862709, 0.00000000
148542225923.02865601, 18101865892.62081528, 0.00000000
148208648575.68627930, 20656505401.19549179, 0.00000000
147830961935.39871216, 23205240368.49761200, 0.00000000
147409217057.68164062, 25747276994.36502457, 0.00000000
146943484519.98367310, 28281808900.26050568, 0.00000000
146433858008.19464111, 30808018206.92362213, 0.00000000
145880458039.10052490, 33325077755.59969330, 0.00000000
145283435290.86257935, 35832154700.98081970, 0.00000000
144642972851.61059570, 38328415363.57632446, 0.00000000
143959286794.85284424, 40813030801.06063080, 0.00000000
143232624874.16409302, 43285182260.02033997, 0.00000000
142463263637.87463379, 45744065686.21155548, 0.00000000
141651504640.32308960, 48188894805.30709076, 0.00000000
140797670500.09161377, 50618902749.15908813, 0.00000000
139902101350.41232300, 53033342562.90647888, 0.00000000
138965151902.01718140, 55431487062.71124268, 0.00000000
137987189058.09387207, 57812628442.79286194, 0.00000000
136968589869.52729797, 60176077850.72714996, 0.00000000
135909739601.54475403, 62521164958.14491272, 0.00000000
134811029764.53192139, 64847237411.99385834, 0.00000000
133672856095.90054321, 67153659989.85280609, 0.00000000
132495616619.16828918, 69439813310.98524475, 0.00000000
131279710002.44262695, 71705092062.70806885, 0.00000000
130025534449.73173523, 73948902853.00581360, 0.00000000
128733487269.72840881, 76170661934.32337952, 0.00000000
127403965107.21775818, 78369793096.60089111, 0.00000000
126037364661.12472534, 80545725969.17279053, 0.00000000
124634083624.84298706, 82697894826.36901855, 0.00000000
123194521606.08547974, 84825737829.82888794, 0.00000000
121719080896.32185364, 86928696535.58300781, 0.00000000
120208167104.98262024, 89006215486.94441223, 0.00000000
118662189784.01094055, 91057741801.29142761, 0.00000000
117081563193.61688232, 93082724800.42518616, 0.00000000
115466707277.58090210, 95080615869.09767151, 0.00000000
113818048739.43618774, 97050868782.70399475, 0.00000000
112136021901.08273315, 98992940658.31895447, 0.00000000
110421068894.85096741, 100906293435.27999878, 0.00000000
108673638811.23794556, 102790395458.20478821, 0.00000000
106894185740.99127197, 104644722488.89973450, 0.00000000
105083166100.66880798, 106468757491.31930542, 0.00000000
103241035986.03945923, 108261988856.61846924, 0.00000000
101368249367.08309937, 110023907212.89001465, 0.00000000
99465257708.74575806, 111754001360.26391602, 0.00000000
97532511223.60272217, 113451754033.08642578, 0.00000000
95570461619.24255371, 115116638118.75061035, 0.00000000
93579565999.01072693, 116748113759.90997314, 0.00000000
91560291519.13922119, 118345626543.94650269, 0.00000000
89513120456.14221191, 119908606809.62002563, 0.00000000
87438555444.87400818, 121436470003.75590515, 0.00000000
85337124765.75619507, 122928618006.50550842, 0.00000000
83209387648.17150879, 124384441405.94998169, 0.00000000
81055939574.30081177, 125803322817.76261902, 0.00000000
78877417483.85160828, 127184641462.33848572, 0.00000000
76674504601.91673279, 128527779258.34562683, 0.00000000
74447934399.40371704, 129832128607.69059753, 0.00000000
72198493043.13919067, 131097101825.84620667, 0.00000000
69927019680.21119690, 132322141876.24183655, 0.00000000
67634404044.52030945, 133506733798.12910461, 0.00000000
65321581120.70280457, 134650416054.81825256, 0.00000000
62989522868.35305786, 135752790997.41537476, 0.00000000
60639227228.81306458, 136813533708.08146667, 0.00000000
58271704776.77696228, 137832398598.94372559, 0.00000000
55887963448.61009216, 138809223239.41882324, 0.00000000
53488991822.12896729, 139743928924.11929321, 0.00000000
51075741508.21801758, 140636517470.78399658, 0.00000000
48649109412.87062836, 141487063707.29446411, 0.00000000
46209920956.23211670, 142295703183.91241455, 0.00000000
43758915705.17572784, 143062614953.23660278, 0.00000000
41296737106.35116577, 143787999826.50805664, 0.00000000
38823927924.74925995, 144472055219.89474487, 0.00000000
36340932556.58003235, 145114948328.41229248, 0.00000000
33848106711.87118149, 145716789723.70321655, 0.00000000
31345734240.72211075, 146277609511.69635010, 0.00000000
28834050256.44157028, 146797337973.28781128, 0.00000000
26313269249.16351700, 147275792254.49615479, 0.00000000
23783616578.74527740, 147712670259.97604370, 0.00000000
21245361554.58878708, 148107552485.76370239, 0.00000000
18698850220.18902206, 148459912128.77563477, 0.00000000
16144535929.80270004, 148769133443.69793701, 0.00000000
13583005797.64238548, 149034537978.83822632, 0.00000000
11015001083.36439896, 149255417979.13623047, 0.00000000
8441429548.15897560, 149431075832.07833862, 0.00000000
5863367833.28779602, 149560867878.18124390, 0.00000000
3282052106.06553745, 149644250189.11895752, 0.00000000
698855736.13379574, 149680823114.36001587, 0.00000000
-1884746307.72651100, 149670370696.48165894, 0.00000000
-4467225352.72943306, 149612890678.94375610, 0.00000000
-7047056711.37285233, 149508610952.92883301, 0.00000000
-9622783162.07296562, 149357988992.09057617, 0.00000000
-12193078945.60211563, 149161692091.92105103, 0.00000000
-14756808170.49840927, 148920557971.24206543, 0.00000000
-17313071304.46843719, 148635537340.81893921, 0.00000000
-19861233936.60707092, 148307622164.80923462, 0.00000000
-22400933236.71413803, 147937765263.22460938, 0.00000000
-24932059412.63867950, 147526798371.38424683, 0.00000000
-27454711790.48649216, 147075356592.07363892, 0.00000000
-29969131691.40325928, 146583817230.88317871, 0.00000000
-32475616810.14554977, 146052260242.50802612, 0.00000000
-34974424052.53704071, 145480455949.80487061, 0.00000000
